"","int","prevalence","precision","cpe","sta.cpe","fsd","sta.fsd","mip","sta.mip","stability"
"42","m_ppt+_pservice+_tmean+",0.0763275379315736,0.606327315471905,0.433943627839698,1,-0.0169297965125377,0.2,0.0196704852090926,1,0
"43","pdev_low+_tmean+",0.143057626601231,0.604646220502245,0.426884287288073,1,0.0023027842357378,0.7,0.0565110738885371,1,0.9
"44","m_tmean+_pdev_low+",0.208554523217556,0.602657894685774,0.418572942941502,1,0.0203604711895373,1,0.0527980265277779,1,1
"45","m_tmean+_ppt-_tmean+",0.286410519562022,0.598177791340214,0.3998936253918,1,0.114318861264677,1,-0.0515098841523688,0,1
"46","m_tmean+_pres+",0.19284063298882,0.596292247575463,0.392055893045348,1,-0.0117936582681709,0.1,0.042182224417857,1,0.8
"47","pgreen-_ppt-_tmean+",0.167652416954176,0.595881513645888,0.390349474250202,1,0.256952623877496,1,-0.0358403907295969,0,0.2
"48","m_ppt+_tmean+",0.192087370226551,0.594505679603783,0.384639392398137,1,-0.0587465840636525,0,0.0396014455266396,1,1
"49","m_tmean+_ppt-_psoilA-",0.205623716542222,0.590611806037587,0.368509417604198,1,0.217233051519674,1,-0.0533907881800232,0,0.6
"50","m_tmean+_pgreen-_ppt-",0.23667126684227,0.590188916701359,0.36675930769126,1,0.242926767350404,1,-0.0470100149647276,0,1
"51","pag-_pstaterd-",0.0613367794488537,0.589705154456915,0.364831447934136,1,0.132765477791009,1,0.0483128324845187,1,0.1
"52","m_ppt+_psoilA-",0.132991897736029,0.589500378725678,0.363925554988839,1,0.00791305549387034,0.7,0.0314793741608513,1,0.6
"53","m_tmean+_med_high-_ppt-",0.166633852421847,0.589050576618566,0.362052698140267,1,0.176615172323487,1,-0.0569876344716747,0,0.3
"54","m_ppt+_ppt-_psoilC+",0.0877783911057758,0.588695833347448,0.360599335426206,1,0.0370192816573184,0.9,-0.0760182463984009,0,0.1
"55","pservice+_psoilA-",0.145576712946957,0.588601584563625,0.360201310906822,1,0.0884870425796634,1,0.0299639398826226,1,0.6
"56","med_high-_pgreen-",0.131477184215809,0.587886879315013,0.357250751341378,1,0.127901031922999,1,0.0444516882906124,1,0.4
"57","pservice+_tmean+",0.211304801779828,0.587753560622663,0.35670714856492,1,0.0271042426469265,1,0.0281737420731357,1,1
"58","pstaterd-_tmean+",0.104849868231577,0.584826656448308,0.344684158337769,1,0.0514966602827426,1,0.0231386227243698,1,0.7
"59","m_ppt+_m_tmean+",0.263064494740771,0.581066247479865,0.329167549389178,1,-0.103089477102133,0,0.0163151123841598,1,1
"60","medyr_built+_tmean+",0.143850061693457,0.580012614284748,0.324847334815189,1,0.0513261612722792,1,0.0149127884282025,1,0.8
"61","m_ppt-_m_tmean+",0.195352682339766,0.578703914847227,0.319478760624201,1,0.0684305477313241,1,0.012231801714691,1,1
"62","m_tmean+_pservice+",0.303747610694864,0.578469249098791,0.318509415523394,1,0.0311879605638736,1,0.0118341081040905,1,1
"63","ppt-_psoilC+",0.243277522264699,0.578405560091355,0.318245509077821,1,0.0823392811652709,1,-0.0559317818864644,0,1
"64","pdev_low-_tmean+",0.166611395900949,0.578262757804961,0.317682340692087,1,0.0725294211750115,1,0.0118747397564533,1,0.9
"65","m_ppt+_pag-",0.105682836849079,0.57683018120691,0.311817147244083,1,-0.038584639682468,0.1,0.0262676633713836,1,0.3
"66","m_tmean+_pcountyrd+_ppt-_tmean+",0.0587369241557306,0.573234618282385,0.297079406683135,1,0.23704769345537,1,-0.047248495793582,0,0
